Intersección (153,): 17.656768
Intersección (165,): 20.522932
Intersección (177,): -4.110325
Intersección (189,): -16.443716
Intersección (201,): 2.018003
Intersección (213,): 31.323397
Intersección (225,): 1.790108
Intersección (237,): 43.912439
Intersección (348,): 29.643022
Intersección (361,): -1.072498
Intersección (386,): 0.046319
Intersección (399,): 11.009009
Intersección (456,): 10.388668
Intersección (480,): -1.064173
Intersección (516,): -0.448900
Intersección (540,): 2.515703
Intersección (598,): 40.306783
Intersección (599,): 6.355512
Intersección (691,): 0.147120
Intersección (716,): -5.166424
Intersección (728,): -3.501121
Intersección (753,): -3.195375
Intersección (810,): 5.730951
Intersección (834,): -23.143932
Intersección (859,): -10.897943
Intersección (883,): 4.479470
Intersección (936,): -20.139184
Intersección (948,): -17.562647
Intersección (960,): -3.546927
Intersección (972,): 5.803830
Intersección (984,): -4.611854
Intersección (996,): 17.247505
Intersección (1008,): -58.529095
Intersección (1020,): -18.207129
Intersección (1211,): 3.999700
Intersección (1223,): 6.277727
Intersección (1259,): -24.728091
Intersección (1271,): -0.529457
