Intersección (153,): 0.008370
Intersección (165,): -0.021693
Intersección (177,): 0.000000
Intersección (189,): 0.142924
Intersección (201,): 0.000000
Intersección (213,): -0.030186
Intersección (225,): 0.129502
Intersección (237,): 0.020436
Intersección (348,): -0.058928
Intersección (361,): -0.039770
Intersección (386,): -0.061502
Intersección (399,): -0.060357
Intersección (456,): 0.123666
Intersección (480,): -0.070798
Intersección (516,): -0.026242
Intersección (540,): 0.089049
Intersección (598,): 0.020724
Intersección (599,): 0.135744
Intersección (691,): -0.026294
Intersección (716,): -0.040818
Intersección (728,): -0.183979
Intersección (753,): 0.027737
Intersección (810,): 0.051503
Intersección (834,): 0.083575
Intersección (859,): -0.053993
Intersección (883,): 0.112332
Intersección (936,): 0.000000
Intersección (948,): -0.017043
Intersección (960,): -0.048617
Intersección (972,): 0.032214
Intersección (984,): 0.000000
Intersección (996,): 0.072609
Intersección (1008,): -0.041368
Intersección (1020,): -0.221276
Intersección (1211,): -0.165951
Intersección (1223,): -0.172205
Intersección (1259,): 0.000000
Intersección (1271,): -0.138021
