Intersección (153,): -0.023044
Intersección (165,): 0.075723
Intersección (177,): -0.017969
Intersección (189,): -0.042528
Intersección (201,): -0.026046
Intersección (213,): -0.006985
Intersección (225,): 0.026615
Intersección (237,): -0.009363
Intersección (348,): 0.023862
Intersección (361,): -0.011818
Intersección (386,): -0.028198
Intersección (399,): 0.089387
Intersección (456,): 0.131851
Intersección (480,): 0.012167
Intersección (516,): 0.030319
Intersección (540,): 0.042113
Intersección (598,): 0.000000
Intersección (599,): 0.000000
Intersección (691,): 0.010545
Intersección (716,): 0.003478
Intersección (728,): -0.007181
Intersección (753,): 0.020552
Intersección (810,): 0.091843
Intersección (834,): -0.018404
Intersección (859,): 0.007927
Intersección (883,): -0.045298
Intersección (936,): 0.000000
Intersección (948,): 0.130035
Intersección (960,): 0.023674
Intersección (972,): 0.014120
Intersección (984,): 0.000000
Intersección (996,): -0.129223
Intersección (1008,): 0.024723
Intersección (1020,): 0.084942
Intersección (1211,): -0.212465
Intersección (1223,): -0.251162
Intersección (1259,): 0.010705
Intersección (1271,): 0.084579
