Intersección (153,): 0.015483
Intersección (165,): 0.000000
Intersección (177,): 0.007921
Intersección (189,): 0.035464
Intersección (201,): 0.022025
Intersección (213,): 0.011401
Intersección (225,): 0.014112
Intersección (237,): -0.004568
Intersección (348,): -0.009483
Intersección (361,): -0.008464
Intersección (386,): 0.000000
Intersección (399,): 0.052090
Intersección (456,): 0.022324
Intersección (480,): 0.000000
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.000000
Intersección (691,): 0.021823
Intersección (716,): 0.000000
Intersección (728,): 0.079078
Intersección (753,): -0.013070
Intersección (810,): 0.000000
Intersección (834,): 0.020320
Intersección (859,): 0.025400
Intersección (883,): 0.030065
Intersección (936,): -0.017546
Intersección (948,): 0.009317
Intersección (960,): 0.013546
Intersección (972,): -0.004936
Intersección (984,): 0.004503
Intersección (996,): 0.024389
Intersección (1008,): 0.011705
Intersección (1020,): -0.012871
Intersección (1211,): -0.014226
Intersección (1223,): -0.048925
Intersección (1259,): -0.155146
Intersección (1271,): 0.000000
