Intersección (153,): 0.023119
Intersección (165,): 0.014802
Intersección (177,): -0.043521
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): 0.050847
Intersección (225,): -0.039355
Intersección (237,): -0.015407
Intersección (348,): -0.043164
Intersección (361,): -0.003341
Intersección (386,): 0.000000
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): -0.026759
Intersección (516,): -0.005330
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.253158
Intersección (691,): 0.000000
Intersección (716,): 0.000000
Intersección (728,): -0.020450
Intersección (753,): 0.000000
Intersección (810,): 0.011185
Intersección (834,): 0.026925
Intersección (859,): 0.053040
Intersección (883,): 0.019615
Intersección (936,): 0.000000
Intersección (948,): -0.007741
Intersección (960,): 0.000000
Intersección (972,): 0.026970
Intersección (984,): 0.022353
Intersección (996,): -0.026105
Intersección (1008,): -0.011430
Intersección (1020,): 0.027091
Intersección (1211,): -0.062199
Intersección (1223,): -0.096360
Intersección (1259,): -0.082769
Intersección (1271,): -0.007158
