Intersección (153,): -0.001823
Intersección (165,): 0.048546
Intersección (177,): 0.008869
Intersección (189,): -0.036053
Intersección (201,): 0.013469
Intersección (213,): -0.009555
Intersección (225,): 0.000000
Intersección (237,): 0.000000
Intersección (348,): -0.023487
Intersección (361,): 0.000000
Intersección (386,): 0.007283
Intersección (399,): 0.000000
Intersección (456,): -0.039765
Intersección (480,): 0.349746
Intersección (516,): 0.032611
Intersección (540,): 0.000000
Intersección (598,): 0.039771
Intersección (599,): 0.041856
Intersección (691,): -0.012720
Intersección (716,): -0.043539
Intersección (728,): -0.012095
Intersección (753,): -0.057232
Intersección (810,): 0.018470
Intersección (834,): 0.011609
Intersección (859,): 0.016613
Intersección (883,): -0.009692
Intersección (936,): 0.000000
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): 0.011536
Intersección (984,): -0.015216
Intersección (996,): -0.022904
Intersección (1008,): 0.007036
Intersección (1020,): 0.000000
Intersección (1211,): -0.126951
Intersección (1223,): 0.000000
Intersección (1259,): -0.016661
Intersección (1271,): 0.031632
