Intersección (153,): -0.013736
Intersección (165,): -0.007541
Intersección (177,): -0.018715
Intersección (189,): 0.000000
Intersección (201,): -0.033874
Intersección (213,): 0.002906
Intersección (225,): -0.029323
Intersección (237,): -0.005606
Intersección (348,): 0.007880
Intersección (361,): 0.005613
Intersección (386,): 0.058835
Intersección (399,): 0.000000
Intersección (456,): 0.014846
Intersección (480,): 0.000000
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.059567
Intersección (691,): 0.000000
Intersección (716,): -0.014531
Intersección (728,): 0.008481
Intersección (753,): 0.000000
Intersección (810,): -0.011951
Intersección (834,): 0.012516
Intersección (859,): -0.029497
Intersección (883,): 0.009317
Intersección (936,): 0.000000
Intersección (948,): -0.023329
Intersección (960,): 0.000000
Intersección (972,): -0.004224
Intersección (984,): 0.017996
Intersección (996,): -0.018021
Intersección (1008,): 0.002081
Intersección (1020,): 0.000000
Intersección (1211,): -0.064358
Intersección (1223,): -0.032697
Intersección (1259,): 0.089409
Intersección (1271,): 0.000000
