Intersección (153,): 0.007076
Intersección (165,): 0.000000
Intersección (177,): -0.006607
Intersección (189,): 0.022240
Intersección (201,): 0.000000
Intersección (213,): -0.004272
Intersección (225,): -0.006209
Intersección (237,): 0.019110
Intersección (348,): -0.006269
Intersección (361,): -0.009796
Intersección (386,): -0.016046
Intersección (399,): 0.000000
Intersección (456,): -0.016268
Intersección (480,): -0.009189
Intersección (516,): 0.018393
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.032727
Intersección (691,): 0.000000
Intersección (716,): -0.007951
Intersección (728,): -0.029287
Intersección (753,): -0.046484
Intersección (810,): -0.008971
Intersección (834,): -0.016867
Intersección (859,): 0.005350
Intersección (883,): 0.009106
Intersección (936,): 0.000000
Intersección (948,): 0.010682
Intersección (960,): 0.000000
Intersección (972,): 0.000000
Intersección (984,): 0.000000
Intersección (996,): 0.029915
Intersección (1008,): 0.000000
Intersección (1020,): -0.042960
Intersección (1211,): 0.051134
Intersección (1223,): -0.023518
Intersección (1259,): -0.017317
Intersección (1271,): 0.000000
