Intersección (153,): 0.012124
Intersección (165,): 0.042312
Intersección (177,): -0.141968
Intersección (189,): 0.092074
Intersección (201,): -0.016293
Intersección (213,): 0.056065
Intersección (225,): 0.000000
Intersección (237,): -0.003439
Intersección (348,): 0.039629
Intersección (361,): 0.008203
Intersección (386,): 0.009609
Intersección (399,): 0.166178
Intersección (456,): -0.038276
Intersección (480,): -0.096661
Intersección (516,): -0.099889
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.125099
Intersección (691,): 0.041507
Intersección (716,): -0.075057
Intersección (728,): 0.090222
Intersección (753,): 0.050836
Intersección (810,): 0.000000
Intersección (834,): 0.172368
Intersección (859,): -0.103625
Intersección (883,): 0.056836
Intersección (936,): -0.062347
Intersección (948,): 0.066934
Intersección (960,): 0.057437
Intersección (972,): -0.063747
Intersección (984,): 0.042064
Intersección (996,): -0.045236
Intersección (1008,): 0.034248
Intersección (1020,): 0.247024
Intersección (1211,): 0.068952
Intersección (1223,): -0.058616
Intersección (1259,): 0.007451
Intersección (1271,): -0.016515
