Intersección (153,): 0.012575
Intersección (165,): 0.017867
Intersección (177,): 0.024233
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): 0.008167
Intersección (225,): 0.015450
Intersección (237,): 0.038714
Intersección (348,): -0.026450
Intersección (361,): 0.015606
Intersección (386,): 0.069746
Intersección (399,): -0.031260
Intersección (456,): 0.000000
Intersección (480,): -0.091701
Intersección (516,): -0.019938
Intersección (540,): 0.000000
Intersección (598,): 0.031777
Intersección (599,): -0.015060
Intersección (691,): 0.228694
Intersección (716,): 0.037313
Intersección (728,): 0.108538
Intersección (753,): -0.030897
Intersección (810,): 0.032351
Intersección (834,): 0.034522
Intersección (859,): -0.051571
Intersección (883,): 0.043552
Intersección (936,): 0.000000
Intersección (948,): -0.014687
Intersección (960,): 0.000000
Intersección (972,): 0.006837
Intersección (984,): 0.018854
Intersección (996,): -0.079616
Intersección (1008,): 0.012305
Intersección (1020,): -0.024496
Intersección (1211,): 0.091704
Intersección (1223,): 0.000000
Intersección (1259,): -0.059299
Intersección (1271,): 0.090562
