Intersección (153,): -0.007918
Intersección (165,): 0.000000
Intersección (177,): 0.000000
Intersección (189,): -0.049220
Intersección (201,): 0.000000
Intersección (213,): 0.000000
Intersección (225,): -0.018969
Intersección (237,): 0.000000
Intersección (348,): 0.004725
Intersección (361,): -0.013107
Intersección (386,): 0.018249
Intersección (399,): 0.000000
Intersección (456,): -0.041721
Intersección (480,): -0.003647
Intersección (516,): -0.008525
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.041815
Intersección (691,): 0.000000
Intersección (716,): 0.013886
Intersección (728,): -0.011805
Intersección (753,): 0.011045
Intersección (810,): -0.006088
Intersección (834,): 0.000000
Intersección (859,): 0.000000
Intersección (883,): 0.010185
Intersección (936,): -0.033660
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): 0.014739
Intersección (984,): 0.000000
Intersección (996,): 0.000000
Intersección (1008,): 0.008503
Intersección (1020,): 0.000000
Intersección (1211,): 0.016289
Intersección (1223,): -0.051639
Intersección (1259,): 0.024281
Intersección (1271,): 0.010538
