Intersección (153,): -0.007077
Intersección (165,): -0.014060
Intersección (177,): 0.012607
Intersección (189,): -0.024472
Intersección (201,): 0.000000
Intersección (213,): 0.003086
Intersección (225,): -0.014567
Intersección (237,): -0.010638
Intersección (348,): -0.012475
Intersección (361,): -0.001729
Intersección (386,): -0.006621
Intersección (399,): 0.000000
Intersección (456,): -0.016711
Intersección (480,): -0.014052
Intersección (516,): -0.060133
Intersección (540,): 0.000000
Intersección (598,): 0.018124
Intersección (599,): 0.016759
Intersección (691,): 0.000000
Intersección (716,): 0.000000
Intersección (728,): -0.013840
Intersección (753,): 0.034044
Intersección (810,): 0.006033
Intersección (834,): -0.031032
Intersección (859,): 0.013296
Intersección (883,): -0.010365
Intersección (936,): 0.000000
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): 0.000000
Intersección (984,): 0.019357
Intersección (996,): -0.023368
Intersección (1008,): 0.007980
Intersección (1020,): 0.023863
Intersección (1211,): 0.018047
Intersección (1223,): 0.042568
Intersección (1259,): 0.000000
Intersección (1271,): 0.000000
