Intersección (153,): 0.010223
Intersección (165,): 0.020094
Intersección (177,): 0.011785
Intersección (189,): 0.031364
Intersección (201,): 0.000000
Intersección (213,): 0.009262
Intersección (225,): -0.093138
Intersección (237,): 0.031469
Intersección (348,): -0.089136
Intersección (361,): 0.036203
Intersección (386,): 0.000000
Intersección (399,): -0.061613
Intersección (456,): 0.087212
Intersección (480,): 0.055428
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.048250
Intersección (599,): -0.122943
Intersección (691,): -0.026222
Intersección (716,): -0.074903
Intersección (728,): 0.018815
Intersección (753,): 0.000000
Intersección (810,): -0.031194
Intersección (834,): -0.075416
Intersección (859,): -0.147430
Intersección (883,): 0.038218
Intersección (936,): -0.016515
Intersección (948,): 0.015686
Intersección (960,): 0.031755
Intersección (972,): 0.041722
Intersección (984,): 0.011750
Intersección (996,): 0.049912
Intersección (1008,): 0.030851
Intersección (1020,): 0.126834
Intersección (1211,): -0.071583
Intersección (1223,): 0.152083
Intersección (1259,): 0.020252
Intersección (1271,): -0.005192
