Intersección (153,): 0.014394
Intersección (165,): -0.013798
Intersección (177,): -0.023227
Intersección (189,): -0.052103
Intersección (201,): 0.000000
Intersección (213,): -0.042325
Intersección (225,): -0.081870
Intersección (237,): 0.013848
Intersección (348,): -0.065282
Intersección (361,): 0.013364
Intersección (386,): 0.041503
Intersección (399,): 0.152144
Intersección (456,): -0.407653
Intersección (480,): 0.023520
Intersección (516,): -0.016139
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.218194
Intersección (691,): -0.023052
Intersección (716,): 0.134162
Intersección (728,): -0.011602
Intersección (753,): 0.033598
Intersección (810,): 0.000000
Intersección (834,): 0.000000
Intersección (859,): 0.145234
Intersección (883,): 0.044114
Intersección (936,): 0.063557
Intersección (948,): -0.014800
Intersección (960,): 0.000000
Intersección (972,): 0.065206
Intersección (984,): 0.000000
Intersección (996,): -0.033175
Intersección (1008,): 0.000000
Intersección (1020,): -0.030832
Intersección (1211,): -0.311225
Intersección (1223,): -0.129335
Intersección (1259,): -0.028745
Intersección (1271,): 0.017725
