Intersección (153,): -0.004923
Intersección (165,): -0.092050
Intersección (177,): -0.198470
Intersección (189,): 0.028776
Intersección (201,): -0.089391
Intersección (213,): -0.044436
Intersección (225,): -0.286908
Intersección (237,): 0.010211
Intersección (348,): -0.126255
Intersección (361,): -0.025669
Intersección (386,): 0.026312
Intersección (399,): -0.175541
Intersección (456,): -0.090063
Intersección (480,): -0.021384
Intersección (516,): -0.479220
Intersección (540,): 0.000000
Intersección (598,): 0.098596
Intersección (599,): 0.016585
Intersección (691,): 0.027526
Intersección (716,): -0.082681
Intersección (728,): 0.142051
Intersección (753,): 0.089925
Intersección (810,): -0.048364
Intersección (834,): -0.215029
Intersección (859,): 0.029005
Intersección (883,): 0.147511
Intersección (936,): 0.000000
Intersección (948,): -0.118727
Intersección (960,): 0.000000
Intersección (972,): 0.116922
Intersección (984,): 0.277824
Intersección (996,): 0.317364
Intersección (1008,): -0.107549
Intersección (1020,): 0.133681
Intersección (1211,): -0.469981
Intersección (1223,): 0.233073
Intersección (1259,): -0.016529
Intersección (1271,): 0.015024
