Intersección (153,): 0.006600
Intersección (165,): 0.000000
Intersección (177,): -0.049710
Intersección (189,): -0.221864
Intersección (201,): 0.102724
Intersección (213,): -0.008986
Intersección (225,): 0.225361
Intersección (237,): 0.000000
Intersección (348,): -0.170976
Intersección (361,): 0.041130
Intersección (386,): 0.086140
Intersección (399,): -0.173428
Intersección (456,): -0.371594
Intersección (480,): -0.197910
Intersección (516,): -0.019657
Intersección (540,): 0.575173
Intersección (598,): -0.613831
Intersección (599,): -0.595889
Intersección (691,): -0.050741
Intersección (716,): 0.000000
Intersección (728,): -0.354672
Intersección (753,): 0.107477
Intersección (810,): -0.120737
Intersección (834,): 0.119593
Intersección (859,): -0.239073
Intersección (883,): -0.160928
Intersección (936,): 1.170178
Intersección (948,): -0.048079
Intersección (960,): 0.974488
Intersección (972,): -0.308480
Intersección (984,): 0.034741
Intersección (996,): -0.812099
Intersección (1008,): -0.170255
Intersección (1020,): -0.821524
Intersección (1211,): -0.001870
Intersección (1223,): 0.089208
Intersección (1259,): 0.133091
Intersección (1271,): 0.051032
