Intersección (153,): -0.114525
Intersección (165,): 0.697485
Intersección (177,): 0.015218
Intersección (189,): -0.275494
Intersección (201,): 0.945037
Intersección (213,): -0.370642
Intersección (225,): 0.058326
Intersección (237,): -0.142151
Intersección (348,): -0.319289
Intersección (361,): 0.052546
Intersección (386,): -0.061564
Intersección (399,): -0.165490
Intersección (456,): -0.471742
Intersección (480,): -0.124356
Intersección (516,): -0.330826
Intersección (540,): 0.772819
Intersección (598,): 0.000000
Intersección (599,): -0.092378
Intersección (691,): -0.228996
Intersección (716,): 0.000000
Intersección (728,): 0.244107
Intersección (753,): 1.458925
Intersección (810,): 0.121703
Intersección (834,): -0.034916
Intersección (859,): -0.717568
Intersección (883,): 0.213049
Intersección (936,): 1.119430
Intersección (948,): 0.477246
Intersección (960,): -0.339659
Intersección (972,): -0.139909
Intersección (984,): 0.409530
Intersección (996,): -0.007972
Intersección (1008,): 0.425522
Intersección (1020,): -0.189033
Intersección (1211,): -0.293009
Intersección (1223,): -0.151489
Intersección (1259,): -0.168255
Intersección (1271,): -0.050155
