Intersección (1008,): 0.002192
Intersección (1020,): 0.001807
Intersección (1211,): 0.003962
Intersección (1223,): 0.003987
Intersección (1259,): 0.003589
Intersección (1271,): 0.002616
Intersección (153,): 0.005026
Intersección (165,): 0.003280
Intersección (177,): 0.005208
Intersección (189,): 0.003177
Intersección (201,): 0.003252
Intersección (213,): 0.005988
Intersección (225,): 0.001775
Intersección (237,): 0.003745
Intersección (348,): 0.002635
Intersección (361,): 0.005175
Intersección (386,): 0.003836
Intersección (399,): 0.002229
Intersección (456,): 0.003370
Intersección (480,): 0.001555
Intersección (516,): 0.003078
Intersección (540,): 0.002645
Intersección (598,): 0.000862
Intersección (599,): 0.001397
Intersección (691,): 0.002588
Intersección (716,): 0.002297
Intersección (728,): 0.001183
Intersección (753,): 0.004429
Intersección (810,): 0.001721
Intersección (834,): 0.003318
Intersección (859,): 0.002459
Intersección (883,): 0.005417
Intersección (936,): 0.004230
Intersección (948,): 0.003593
Intersección (960,): 0.004310
Intersección (972,): 0.001985
Intersección (984,): 0.002302
Intersección (996,): 0.001564
