Intersección (1008,): 0.007850
Intersección (1020,): 0.009350
Intersección (1211,): 0.009235
Intersección (1223,): 0.010520
Intersección (1259,): 0.021311
Intersección (1271,): 0.013450
Intersección (153,): 0.016402
Intersección (165,): 0.014765
Intersección (177,): 0.019201
Intersección (189,): 0.016783
Intersección (201,): 0.013937
Intersección (213,): 0.014515
Intersección (225,): 0.015179
Intersección (237,): 0.013816
Intersección (348,): 0.012977
Intersección (361,): 0.013222
Intersección (386,): 0.014751
Intersección (399,): 0.010605
Intersección (456,): 0.016089
Intersección (480,): 0.020336
Intersección (516,): 0.014805
Intersección (540,): 0.014607
Intersección (598,): 0.012471
Intersección (599,): 0.011815
Intersección (691,): 0.011912
Intersección (716,): 0.014673
Intersección (728,): 0.014824
Intersección (753,): 0.014148
Intersección (810,): 0.013165
Intersección (834,): 0.027897
Intersección (859,): 0.016464
Intersección (883,): 0.009757
Intersección (936,): 0.006304
Intersección (948,): 0.017175
Intersección (960,): 0.015294
Intersección (972,): 0.019009
Intersección (984,): 0.009731
Intersección (996,): 0.020059
