Intersección (1008,): 0.010671
Intersección (1020,): 0.012899
Intersección (1211,): 0.011982
Intersección (1223,): 0.009180
Intersección (1259,): 0.009688
Intersección (1271,): 0.011324
Intersección (153,): 0.015784
Intersección (165,): 0.017467
Intersección (177,): 0.016412
Intersección (189,): 0.009009
Intersección (201,): 0.007299
Intersección (213,): 0.013494
Intersección (225,): 0.010058
Intersección (237,): 0.008384
Intersección (348,): 0.008781
Intersección (361,): 0.012134
Intersección (386,): 0.012513
Intersección (399,): 0.005304
Intersección (456,): 0.007530
Intersección (480,): 0.008178
Intersección (516,): 0.009961
Intersección (540,): 0.006041
Intersección (598,): 0.016939
Intersección (599,): 0.012424
Intersección (691,): 0.007382
Intersección (716,): 0.009854
Intersección (728,): 0.014456
Intersección (753,): 0.010185
Intersección (810,): 0.009544
Intersección (834,): 0.010167
Intersección (859,): 0.010716
Intersección (883,): 0.008558
Intersección (936,): 0.017533
Intersección (948,): 0.011341
Intersección (960,): 0.010505
Intersección (972,): 0.005822
Intersección (984,): 0.016009
Intersección (996,): 0.011328
