Intersección (1008,): 0.002641
Intersección (1020,): 0.003571
Intersección (1211,): 0.002335
Intersección (1223,): 0.002201
Intersección (1259,): 0.004878
Intersección (1271,): 0.001891
Intersección (153,): 0.002969
Intersección (165,): 0.005237
Intersección (177,): 0.004460
Intersección (189,): 0.002027
Intersección (201,): 0.002328
Intersección (213,): 0.002703
Intersección (225,): 0.003289
Intersección (237,): 0.003318
Intersección (348,): 0.003528
Intersección (361,): 0.002887
Intersección (386,): 0.004190
Intersección (399,): 0.004725
Intersección (456,): 0.001065
Intersección (480,): 0.003657
Intersección (516,): 0.005117
Intersección (540,): 0.004681
Intersección (598,): 0.002687
Intersección (599,): 0.003783
Intersección (691,): 0.005221
Intersección (716,): 0.003952
Intersección (728,): 0.003403
Intersección (753,): 0.002321
Intersección (810,): 0.001910
Intersección (834,): 0.001194
Intersección (859,): 0.001477
Intersección (883,): 0.001697
Intersección (936,): 0.003433
Intersección (948,): 0.005088
Intersección (960,): 0.003123
Intersección (972,): 0.001733
Intersección (984,): 0.002088
Intersección (996,): 0.003573
