Intersección (1008,): 0.003634
Intersección (1020,): 0.008236
Intersección (1211,): 0.005565
Intersección (1223,): 0.006902
Intersección (1259,): 0.005032
Intersección (1271,): 0.004472
Intersección (153,): 0.005160
Intersección (165,): 0.005506
Intersección (177,): 0.006409
Intersección (189,): 0.009379
Intersección (201,): 0.004751
Intersección (213,): 0.004681
Intersección (225,): 0.010026
Intersección (237,): 0.005224
Intersección (348,): 0.004666
Intersección (361,): 0.004805
Intersección (386,): 0.004906
Intersección (399,): 0.007659
Intersección (456,): 0.007447
Intersección (480,): 0.007824
Intersección (516,): 0.003988
Intersección (540,): 0.003074
Intersección (598,): 0.005481
Intersección (599,): 0.006134
Intersección (691,): 0.005295
Intersección (716,): 0.006486
Intersección (728,): 0.005803
Intersección (753,): 0.003191
Intersección (810,): 0.005454
Intersección (834,): 0.004552
Intersección (859,): 0.003995
Intersección (883,): 0.005065
Intersección (936,): 0.006725
Intersección (948,): 0.004689
Intersección (960,): 0.003456
Intersección (972,): 0.005922
Intersección (984,): 0.006568
Intersección (996,): 0.006501
