Intersección (1008,): 0.020323
Intersección (1020,): 0.013588
Intersección (1211,): 0.016107
Intersección (1223,): 0.008959
Intersección (1259,): 0.017359
Intersección (1271,): 0.012732
Intersección (153,): 0.008778
Intersección (165,): 0.011794
Intersección (177,): 0.023159
Intersección (189,): 0.038789
Intersección (201,): 0.018208
Intersección (213,): 0.010647
Intersección (225,): 0.009421
Intersección (237,): 0.016430
Intersección (348,): 0.014260
Intersección (361,): 0.035137
Intersección (386,): 0.024490
Intersección (399,): 0.012564
Intersección (456,): 0.013595
Intersección (480,): 0.009531
Intersección (516,): 0.009889
Intersección (540,): 0.014713
Intersección (598,): 0.014587
Intersección (599,): 0.013993
Intersección (691,): 0.024632
Intersección (716,): 0.033056
Intersección (728,): 0.018333
Intersección (753,): 0.013633
Intersección (810,): 0.009799
Intersección (834,): 0.027358
Intersección (859,): 0.021189
Intersección (883,): 0.010290
Intersección (936,): 0.013459
Intersección (948,): 0.015985
Intersección (960,): 0.009511
Intersección (972,): 0.025402
Intersección (984,): 0.018957
Intersección (996,): 0.007855
