Intersección (1008,): 0.003320
Intersección (1020,): 0.005602
Intersección (1211,): 0.004355
Intersección (1223,): 0.006554
Intersección (1259,): 0.009475
Intersección (1271,): 0.006761
Intersección (153,): 0.002376
Intersección (165,): 0.000636
Intersección (177,): 0.003196
Intersección (189,): 0.001683
Intersección (201,): 0.004202
Intersección (213,): 0.005273
Intersección (225,): 0.002310
Intersección (237,): 0.004428
Intersección (348,): 0.009493
Intersección (361,): 0.004546
Intersección (386,): 0.005467
Intersección (399,): 0.008394
Intersección (456,): 0.006217
Intersección (480,): 0.001894
Intersección (516,): 0.006929
Intersección (540,): 0.007716
Intersección (598,): 0.004076
Intersección (599,): 0.010787
Intersección (691,): 0.002300
Intersección (716,): 0.005174
Intersección (728,): 0.007324
Intersección (753,): 0.003317
Intersección (810,): 0.003556
Intersección (834,): 0.005162
Intersección (859,): 0.003615
Intersección (883,): 0.002754
Intersección (936,): 0.003378
Intersección (948,): 0.002714
Intersección (960,): 0.004866
Intersección (972,): 0.004791
Intersección (984,): 0.004899
Intersección (996,): 0.003996
