Intersección (1008,): 0.008064
Intersección (1020,): 0.002756
Intersección (1211,): 0.003015
Intersección (1223,): 0.004063
Intersección (1259,): 0.002471
Intersección (1271,): 0.003236
Intersección (153,): 0.001828
Intersección (165,): 0.005715
Intersección (177,): 0.003127
Intersección (189,): 0.002098
Intersección (201,): 0.000824
Intersección (213,): 0.005247
Intersección (225,): 0.003502
Intersección (237,): 0.002076
Intersección (348,): 0.001804
Intersección (361,): 0.006474
Intersección (386,): 0.005137
Intersección (399,): 0.002590
Intersección (456,): 0.004401
Intersección (480,): 0.005584
Intersección (516,): 0.003073
Intersección (540,): 0.002161
Intersección (598,): 0.005347
Intersección (599,): 0.001451
Intersección (691,): 0.001743
Intersección (716,): 0.002634
Intersección (728,): 0.002753
Intersección (753,): 0.003379
Intersección (810,): 0.006319
Intersección (834,): 0.002973
Intersección (859,): 0.004471
Intersección (883,): 0.005735
Intersección (936,): 0.001649
Intersección (948,): 0.001767
Intersección (960,): 0.002547
Intersección (972,): 0.005644
Intersección (984,): 0.003091
Intersección (996,): 0.007954
