Intersección (1008,): 0.004121
Intersección (1020,): 0.005597
Intersección (1211,): 0.004355
Intersección (1223,): 0.005408
Intersección (1259,): 0.004630
Intersección (1271,): 0.003480
Intersección (153,): 0.008233
Intersección (165,): 0.007760
Intersección (177,): 0.004296
Intersección (189,): 0.003349
Intersección (201,): 0.005221
Intersección (213,): 0.005222
Intersección (225,): 0.006566
Intersección (237,): 0.006023
Intersección (348,): 0.004722
Intersección (361,): 0.005095
Intersección (386,): 0.004726
Intersección (399,): 0.005326
Intersección (456,): 0.003978
Intersección (480,): 0.003692
Intersección (516,): 0.006132
Intersección (540,): 0.003938
Intersección (598,): 0.005328
Intersección (599,): 0.004509
Intersección (691,): 0.005217
Intersección (716,): 0.006356
Intersección (728,): 0.004022
Intersección (753,): 0.005524
Intersección (810,): 0.004691
Intersección (834,): 0.005427
Intersección (859,): 0.005608
Intersección (883,): 0.006008
Intersección (936,): 0.007167
Intersección (948,): 0.003574
Intersección (960,): 0.005648
Intersección (972,): 0.006501
Intersección (984,): 0.005229
Intersección (996,): 0.006300
