Intersección (1008,): 0.002663
Intersección (1020,): 0.007694
Intersección (1211,): 0.013380
Intersección (1223,): 0.002261
Intersección (1259,): 0.002879
Intersección (1271,): 0.001634
Intersección (153,): 0.012457
Intersección (165,): 0.002142
Intersección (177,): 0.020152
Intersección (189,): 0.004121
Intersección (201,): 0.009764
Intersección (213,): 0.002226
Intersección (225,): 0.006492
Intersección (237,): 0.002555
Intersección (348,): 0.007519
Intersección (361,): 0.006781
Intersección (386,): 0.013313
Intersección (399,): 0.001613
Intersección (456,): 0.016753
Intersección (480,): 0.001905
Intersección (516,): 0.001058
Intersección (540,): 0.013157
Intersección (598,): 0.003403
Intersección (599,): 0.000970
Intersección (691,): 0.001640
Intersección (716,): 0.001901
Intersección (728,): 0.001752
Intersección (753,): 0.001527
Intersección (810,): 0.002265
Intersección (834,): 0.004488
Intersección (859,): 0.003312
Intersección (883,): 0.003823
Intersección (936,): 0.001394
Intersección (948,): 0.002520
Intersección (960,): 0.012060
Intersección (972,): 0.004640
Intersección (984,): 0.024280
Intersección (996,): 0.002771
