Intersección (1008,): 0.005827
Intersección (1020,): 0.001281
Intersección (1211,): 0.001709
Intersección (1223,): 0.004299
Intersección (1259,): 0.002615
Intersección (1271,): 0.001408
Intersección (153,): 0.007107
Intersección (165,): 0.001798
Intersección (177,): 0.001650
Intersección (189,): 0.002517
Intersección (201,): 0.002787
Intersección (213,): 0.001775
Intersección (225,): 0.002924
Intersección (237,): 0.001576
Intersección (348,): 0.003351
Intersección (361,): 0.003499
Intersección (386,): 0.001541
Intersección (399,): 0.002544
Intersección (456,): 0.003072
Intersección (480,): 0.003231
Intersección (516,): 0.004007
Intersección (540,): 0.001032
Intersección (598,): 0.001139
Intersección (599,): 0.002965
Intersección (691,): 0.003767
Intersección (716,): 0.003212
Intersección (728,): 0.003477
Intersección (753,): 0.003488
Intersección (810,): 0.004595
Intersección (834,): 0.002322
Intersección (859,): 0.006162
Intersección (883,): 0.001863
Intersección (936,): 0.001717
Intersección (948,): 0.002556
Intersección (960,): 0.005966
Intersección (972,): 0.003735
Intersección (984,): 0.002705
Intersección (996,): 0.002178
