Intersección (1008,): 0.001441
Intersección (1020,): 0.003069
Intersección (1211,): 0.009226
Intersección (1223,): 0.001027
Intersección (1259,): 0.002318
Intersección (1271,): 0.002039
Intersección (153,): 0.003108
Intersección (165,): 0.002534
Intersección (177,): 0.001413
Intersección (189,): 0.002834
Intersección (201,): 0.001755
Intersección (213,): 0.001918
Intersección (225,): 0.003861
Intersección (237,): 0.002112
Intersección (348,): 0.000965
Intersección (361,): 0.002191
Intersección (386,): 0.003882
Intersección (399,): 0.002033
Intersección (456,): 0.003891
Intersección (480,): 0.002082
Intersección (516,): 0.004043
Intersección (540,): 0.004347
Intersección (598,): 0.002829
Intersección (599,): 0.005206
Intersección (691,): 0.002049
Intersección (716,): 0.001123
Intersección (728,): 0.002261
Intersección (753,): 0.001968
Intersección (810,): 0.003464
Intersección (834,): 0.002486
Intersección (859,): 0.002391
Intersección (883,): 0.001656
Intersección (936,): 0.001869
Intersección (948,): 0.001422
Intersección (960,): 0.003119
Intersección (972,): 0.001340
Intersección (984,): 0.004266
Intersección (996,): 0.002047
