Intersección (1008,): 0.004389
Intersección (1020,): 0.002692
Intersección (1211,): 0.005489
Intersección (1223,): 0.003742
Intersección (1259,): 0.003889
Intersección (1271,): 0.003086
Intersección (153,): 0.002660
Intersección (165,): 0.003177
Intersección (177,): 0.002734
Intersección (189,): 0.003240
Intersección (201,): 0.002907
Intersección (213,): 0.004630
Intersección (225,): 0.003714
Intersección (237,): 0.003339
Intersección (348,): 0.003027
Intersección (361,): 0.004285
Intersección (386,): 0.004710
Intersección (399,): 0.004846
Intersección (456,): 0.005152
Intersección (480,): 0.002775
Intersección (516,): 0.005548
Intersección (540,): 0.005265
Intersección (598,): 0.004355
Intersección (599,): 0.005037
Intersección (691,): 0.003490
Intersección (716,): 0.004680
Intersección (728,): 0.007759
Intersección (753,): 0.003112
Intersección (810,): 0.002928
Intersección (834,): 0.004505
Intersección (859,): 0.003585
Intersección (883,): 0.004068
Intersección (936,): 0.006044
Intersección (948,): 0.005319
Intersección (960,): 0.003703
Intersección (972,): 0.004018
Intersección (984,): 0.003817
Intersección (996,): 0.004363
