Intersección (1008,): 0.002365
Intersección (1020,): 0.004624
Intersección (1211,): 0.001199
Intersección (1223,): 0.001801
Intersección (1259,): 0.004213
Intersección (1271,): 0.004119
Intersección (153,): 0.003067
Intersección (165,): 0.004557
Intersección (177,): 0.003610
Intersección (189,): 0.006901
Intersección (201,): 0.004904
Intersección (213,): 0.004570
Intersección (225,): 0.004465
Intersección (237,): 0.005131
Intersección (348,): 0.003963
Intersección (361,): 0.003116
Intersección (386,): 0.002132
Intersección (399,): 0.002895
Intersección (456,): 0.001694
Intersección (480,): 0.001650
Intersección (516,): 0.004859
Intersección (540,): 0.001492
Intersección (598,): 0.003109
Intersección (599,): 0.003530
Intersección (691,): 0.005363
Intersección (716,): 0.006344
Intersección (728,): 0.004549
Intersección (753,): 0.001849
Intersección (810,): 0.001906
Intersección (834,): 0.004647
Intersección (859,): 0.004409
Intersección (883,): 0.004671
Intersección (936,): 0.006584
Intersección (948,): 0.003616
Intersección (960,): 0.001453
Intersección (972,): 0.002737
Intersección (984,): 0.002293
Intersección (996,): 0.006055
