Intersección (1008,): 0.842781
Intersección (1020,): 0.851325
Intersección (1211,): 0.856139
Intersección (1223,): 0.856815
Intersección (1259,): 0.870697
Intersección (1271,): 0.867355
Intersección (153,): 0.846175
Intersección (165,): 0.872276
Intersección (177,): 0.860027
Intersección (189,): 0.877391
Intersección (201,): 0.855506
Intersección (213,): 0.852200
Intersección (225,): 0.876115
Intersección (237,): 0.865997
Intersección (348,): 0.868166
Intersección (361,): 0.855425
Intersección (386,): 0.851034
Intersección (399,): 0.867034
Intersección (456,): 0.847432
Intersección (480,): 0.863229
Intersección (516,): 0.864645
Intersección (540,): 0.860699
Intersección (598,): 0.849022
Intersección (599,): 0.849980
Intersección (691,): 0.871223
Intersección (716,): 0.855480
Intersección (728,): 0.860501
Intersección (753,): 0.886130
Intersección (810,): 0.864920
Intersección (834,): 0.879023
Intersección (859,): 0.870275
Intersección (883,): 0.862978
Intersección (936,): 0.866654
Intersección (948,): 0.873730
Intersección (960,): 0.846965
Intersección (972,): 0.861319
Intersección (984,): 0.842553
Intersección (996,): 0.862975
