Intersección (1008,): 0.005875
Intersección (1020,): 0.006535
Intersección (1211,): 0.001867
Intersección (1223,): 0.006637
Intersección (1259,): 0.002169
Intersección (1271,): 0.004621
Intersección (153,): 0.002504
Intersección (165,): 0.002793
Intersección (177,): 0.006705
Intersección (189,): 0.003146
Intersección (201,): 0.008602
Intersección (213,): 0.002374
Intersección (225,): 0.006248
Intersección (237,): 0.002296
Intersección (348,): 0.007570
Intersección (361,): 0.003995
Intersección (386,): 0.002296
Intersección (399,): 0.003383
Intersección (456,): 0.004706
Intersección (480,): 0.003195
Intersección (516,): 0.006127
Intersección (540,): 0.002228
Intersección (598,): 0.005525
Intersección (599,): 0.004140
Intersección (691,): 0.005791
Intersección (716,): 0.005165
Intersección (728,): 0.003436
Intersección (753,): 0.001944
Intersección (810,): 0.003498
Intersección (834,): 0.004596
Intersección (859,): 0.003106
Intersección (883,): 0.001867
Intersección (936,): 0.003632
Intersección (948,): 0.003695
Intersección (960,): 0.005355
Intersección (972,): 0.006478
Intersección (984,): 0.001711
Intersección (996,): 0.001376
