Intersección (1008,): 0.010595
Intersección (1020,): 0.007576
Intersección (1211,): 0.015202
Intersección (1223,): 0.003628
Intersección (1259,): 0.006104
Intersección (1271,): 0.018019
Intersección (153,): 0.014934
Intersección (165,): 0.012791
Intersección (177,): 0.007117
Intersección (189,): 0.005777
Intersección (201,): 0.016902
Intersección (213,): 0.010908
Intersección (225,): 0.012610
Intersección (237,): 0.010963
Intersección (348,): 0.013154
Intersección (361,): 0.012168
Intersección (386,): 0.010290
Intersección (399,): 0.012515
Intersección (456,): 0.005888
Intersección (480,): 0.015382
Intersección (516,): 0.010047
Intersección (540,): 0.004353
Intersección (598,): 0.007707
Intersección (599,): 0.018910
Intersección (691,): 0.009669
Intersección (716,): 0.016507
Intersección (728,): 0.013277
Intersección (753,): 0.010056
Intersección (810,): 0.011579
Intersección (834,): 0.014346
Intersección (859,): 0.013044
Intersección (883,): 0.009278
Intersección (936,): 0.013286
Intersección (948,): 0.003292
Intersección (960,): 0.012988
Intersección (972,): 0.006864
Intersección (984,): 0.005034
Intersección (996,): 0.013512
