Intersección (1008,): 0.004763
Intersección (1020,): 0.003549
Intersección (1211,): 0.004149
Intersección (1223,): 0.004303
Intersección (1259,): 0.001643
Intersección (1271,): 0.004536
Intersección (153,): 0.001842
Intersección (165,): 0.003361
Intersección (177,): 0.003977
Intersección (189,): 0.001243
Intersección (201,): 0.002306
Intersección (213,): 0.005927
Intersección (225,): 0.005094
Intersección (237,): 0.006723
Intersección (348,): 0.001098
Intersección (361,): 0.002956
Intersección (386,): 0.005359
Intersección (399,): 0.005716
Intersección (456,): 0.001437
Intersección (480,): 0.003329
Intersección (516,): 0.005856
Intersección (540,): 0.002626
Intersección (598,): 0.003069
Intersección (599,): 0.002503
Intersección (691,): 0.005215
Intersección (716,): 0.006090
Intersección (728,): 0.004758
Intersección (753,): 0.003923
Intersección (810,): 0.002692
Intersección (834,): 0.004103
Intersección (859,): 0.002228
Intersección (883,): 0.005365
Intersección (936,): 0.002361
Intersección (948,): 0.003624
Intersección (960,): 0.005480
Intersección (972,): 0.002981
Intersección (984,): 0.001892
Intersección (996,): 0.001293
