Intersección (1008,): 0.014530
Intersección (1020,): 0.004953
Intersección (1211,): 0.011930
Intersección (1223,): 0.032157
Intersección (1259,): 0.039173
Intersección (1271,): 0.009799
Intersección (153,): 0.009924
Intersección (165,): 0.013346
Intersección (177,): 0.015815
Intersección (189,): 0.009491
Intersección (201,): 0.007692
Intersección (213,): 0.019924
Intersección (225,): 0.020748
Intersección (237,): 0.010690
Intersección (348,): 0.014517
Intersección (361,): 0.005782
Intersección (386,): 0.010721
Intersección (399,): 0.030416
Intersección (456,): 0.006689
Intersección (480,): 0.027975
Intersección (516,): 0.010556
Intersección (540,): 0.014485
Intersección (598,): 0.012660
Intersección (599,): 0.013205
Intersección (691,): 0.025217
Intersección (716,): 0.022988
Intersección (728,): 0.012136
Intersección (753,): 0.024269
Intersección (810,): 0.019316
Intersección (834,): 0.024591
Intersección (859,): 0.017534
Intersección (883,): 0.019544
Intersección (936,): 0.019464
Intersección (948,): 0.015074
Intersección (960,): 0.031516
Intersección (972,): 0.013403
Intersección (984,): 0.010805
Intersección (996,): 0.018597
