nextPacmanMove,totalTime ,score ,pacmanCurrentNodeIndex ,pacmanLastMoveMade ,ghost1NodeIndex ,ghost1EdibleTime ,ghost1LairTime ,ghost1LastMove ,ghost2NodeIndex ,ghost2EdibleTime ,ghost2LairTime ,ghost2LastMove ,ghost3NodeIndex ,ghost3EdibleTime,ghost3LairTime ,ghost3LastMove ,ghost4NodeIndex ,ghost4EdibleTime ,ghost4LairTime ,ghost4LastMove ,timeOfLastGlobalReversal ,pacmanWasEaten ,ghost1Eaten ,ghost2Eaten ,ghost3Eaten  ,ghost4Eaten ,,,,,,,,,,
DOWN,2,10,225,LEFT,1292,0,38,NEUTRAL,1292,0,58,NEUTRAL,1292,0,78,NEUTRAL,1292,0,98,NEUTRAL,-1,false,false,false,false,false,-1,-1,-1,-1,-1,-1,-1,21,21,4
LEFT,30,80,386,LEFT,1292,0,10,NEUTRAL,1292,0,30,NEUTRAL,1292,0,50,NEUTRAL,1292,0,70,NEUTRAL,-1,false,false,false,false,false,30,70,-1,-1,-1,-1,-1,40,40,4
LEFT,58,150,201,UP,516,0,0,RIGHT,1292,0,2,NEUTRAL,1292,0,22,NEUTRAL,1292,0,42,NEUTRAL,-1,false,false,false,false,false,30,70,130,40,-1,-1,-1,44,44,4
LEFT,70,180,189,LEFT,386,0,0,UP,488,0,0,LEFT,1292,0,10,NEUTRAL,1292,0,30,NEUTRAL,-1,false,false,false,false,false,30,70,130,40,48,-1,-1,44,44,4
LEFT,82,210,177,LEFT,398,0,0,RIGHT,441,0,0,UP,496,0,0,LEFT,1292,0,18,NEUTRAL,-1,false,false,false,false,false,30,70,130,64,48,68,-1,32,32,4
UP,94,240,165,LEFT,268,0,0,UP,357,0,0,LEFT,484,0,0,LEFT,1292,0,6,NEUTRAL,-1,false,false,false,false,false,30,70,130,64,24,44,-1,21,21,4
RIGHT,146,410,153,RIGHT,68,183,0,LEFT,134,183,0,DOWN,458,183,0,RIGHT,518,183,0,LEFT,129,false,false,false,false,false,30,110,170,87,14,30,75,92,92,3
RIGHT,158,430,165,RIGHT,62,171,0,LEFT,169,171,0,RIGHT,464,171,0,RIGHT,512,171,0,LEFT,129,false,false,false,false,false,20,60,160,76,4,48,72,80,80,3
UP,170,630,177,RIGHT,89,159,0,DOWN,1292,0,31,NEUTRAL,470,159,0,RIGHT,506,159,0,LEFT,129,false,false,false,false,false,200,230,330,58,-1,62,74,68,68,3
RIGHT,230,780,213,DOWN,293,99,0,DOWN,414,0,0,UP,500,99,0,RIGHT,554,99,0,DOWN,129,false,false,false,false,false,30,70,130,32,41,68,68,32,32,3
