totalTime,score,pacmanCurrentNodeIndex,ghost1NodeIndex,ghost1EdibleTime,ghost1LairTime,ghost2NodeIndex,ghost2EdibleTime,ghost2LairTime,ghost3NodeIndex,ghost3EdibleTime,ghost3LairTime,ghost4NodeIndex,ghost4EdibleTime,ghost4LairTime,timeOfLastGlobalReversal,pacmanWasEaten,ghost1Eaten,ghost2Eaten,ghost3Eaten,ghost4Eaten,pacmanLastMoveMade_DOWN,pacmanLastMoveMade_LEFT,pacmanLastMoveMade_RIGHT,pacmanLastMoveMade_UP,ghost1LastMove_DOWN,ghost1LastMove_LEFT,ghost1LastMove_NEUTRAL,ghost1LastMove_RIGHT,ghost1LastMove_UP,ghost2LastMove_DOWN,ghost2LastMove_LEFT,ghost2LastMove_NEUTRAL,ghost2LastMove_RIGHT,ghost2LastMove_UP,ghost3LastMove_DOWN,ghost3LastMove_LEFT,ghost3LastMove_NEUTRAL,ghost3LastMove_RIGHT,ghost3LastMove_UP,ghost4LastMove_DOWN,ghost4LastMove_LEFT,ghost4LastMove_NEUTRAL,ghost4LastMove_RIGHT,ghost4LastMove_UP
11,30,883,1292,0,29,1292,0,49,1292,0,69,1292,0,89,-1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
35,90,859,1292,0,5,1292,0,25,1292,0,45,1292,0,65,-1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
47,120,996,505,0,0,1292,0,13,1292,0,33,1292,0,53,-1,0,0,0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
59,150,984,543,0,0,1292,0,1,1292,0,21,1292,0,41,-1,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
95,240,1259,768,0,0,640,0,0,483,0,0,1292,0,5,-1,0,0,0,0,0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
131,330,1223,995,0,0,783,0,0,420,0,0,529,0,0,-1,0,0,0,0,0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
143,360,1211,1032,0,0,841,0,0,282,0,0,455,0,0,-1,0,0,0,0,0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0
195,530,936,1113,175,0,827,175,0,146,175,0,323,175,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
207,560,810,1080,163,0,833,163,0,152,163,0,402,163,0,170,0,0,0,0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
231,620,834,987,139,0,845,139,0,164,139,0,338,139,0,170,0,0,0,0,0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
