Intersección (153,): -0.107037
Intersección (165,): 0.461498
Intersección (177,): -0.047616
Intersección (189,): -2.149313
Intersección (201,): 0.451947
Intersección (213,): 1.462648
Intersección (225,): 0.357873
Intersección (237,): -0.907882
Intersección (348,): -0.160082
Intersección (361,): -0.100450
Intersección (386,): 0.009756
Intersección (399,): -0.367082
Intersección (456,): 2.212456
Intersección (480,): 0.284876
Intersección (516,): -0.037446
Intersección (540,): 1.491491
Intersección (598,): 0.248955
Intersección (599,): 0.667068
Intersección (691,): -0.268289
Intersección (716,): 0.583639
Intersección (728,): 0.014729
Intersección (753,): -0.328213
Intersección (810,): 0.459416
Intersección (834,): -0.109367
Intersección (859,): 0.130277
Intersección (883,): -0.040277
Intersección (936,): 0.683965
Intersección (948,): -0.245382
Intersección (960,): -0.328653
Intersección (972,): 0.001324
Intersección (984,): 0.038854
Intersección (996,): 0.750163
Intersección (1008,): -2.613099
Intersección (1020,): -0.918922
Intersección (1211,): 0.057438
Intersección (1223,): 0.177958
Intersección (1259,): 0.351672
Intersección (1271,): -1.475725
