Intersección (153,): 0.719480
Intersección (165,): 0.730410
Intersección (177,): 1.381526
Intersección (189,): 1.378914
Intersección (201,): 1.156768
Intersección (213,): 2.899953
Intersección (225,): 0.080406
Intersección (237,): 3.636518
Intersección (348,): 1.328041
Intersección (361,): 0.587570
Intersección (386,): 0.446175
Intersección (399,): -15.472131
Intersección (456,): 1.337316
Intersección (480,): -0.011803
Intersección (516,): -0.081143
Intersección (540,): 3.345700
Intersección (598,): -3.128787
Intersección (599,): 0.474410
Intersección (691,): -0.021304
Intersección (716,): 0.586842
Intersección (728,): 4.120579
Intersección (753,): 0.273458
Intersección (810,): 0.582410
Intersección (834,): -1.414580
Intersección (859,): -8.112624
Intersección (883,): -0.064037
Intersección (936,): 1.982538
Intersección (948,): 0.078744
Intersección (960,): -1.016726
Intersección (972,): -5.334700
Intersección (984,): -0.051239
Intersección (996,): -1.087883
Intersección (1008,): -2.787078
Intersección (1020,): -0.020294
Intersección (1211,): 0.255770
Intersección (1223,): 0.677907
Intersección (1259,): 11.238085
Intersección (1271,): -4.208112
