Intersección (153,): 0.001004
Intersección (165,): 0.001144
Intersección (177,): 0.000000
Intersección (189,): 0.000000
Intersección (201,): 0.000453
Intersección (213,): 0.000000
Intersección (225,): 0.000000
Intersección (237,): 0.003000
Intersección (348,): 0.000000
Intersección (361,): 0.000000
Intersección (386,): 0.000000
Intersección (399,): 0.000000
Intersección (456,): 0.000000
Intersección (480,): 0.000000
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.000000
Intersección (691,): 0.000000
Intersección (716,): -0.000355
Intersección (728,): 0.000000
Intersección (753,): 0.000000
Intersección (810,): 0.002037
Intersección (834,): 0.000000
Intersección (859,): 0.000903
Intersección (883,): 0.000857
Intersección (936,): 0.000000
Intersección (948,): 0.000000
Intersección (960,): 0.000000
Intersección (972,): 0.000000
Intersección (984,): 0.000000
Intersección (996,): 0.000000
Intersección (1008,): 0.000905
Intersección (1020,): 0.000000
Intersección (1211,): 0.000000
Intersección (1223,): 0.000000
Intersección (1259,): 0.000000
Intersección (1271,): -0.004382
