Intersección (153,): -0.235737
Intersección (165,): -0.049992
Intersección (177,): -0.611667
Intersección (189,): 1.089021
Intersección (201,): -1.090682
Intersección (213,): -1.578857
Intersección (225,): 0.028482
Intersección (237,): -0.058624
Intersección (348,): -3.161371
Intersección (361,): 0.277340
Intersección (386,): 0.066891
Intersección (399,): 0.673243
Intersección (456,): 0.209623
Intersección (480,): -0.024406
Intersección (516,): -0.039052
Intersección (540,): -0.648078
Intersección (598,): 0.078158
Intersección (599,): -0.274834
Intersección (691,): -0.143235
Intersección (716,): 0.085364
Intersección (728,): 0.367237
Intersección (753,): 0.004606
Intersección (810,): -1.030511
Intersección (834,): -0.495432
Intersección (859,): -0.445328
Intersección (883,): -0.069136
Intersección (936,): -0.118235
Intersección (948,): 0.236062
Intersección (960,): 1.829239
Intersección (972,): 3.119879
Intersección (984,): -1.418426
Intersección (996,): -0.388209
Intersección (1008,): 2.218593
Intersección (1020,): 2.399574
Intersección (1211,): 2.611252
Intersección (1223,): 0.080362
Intersección (1259,): -0.092967
Intersección (1271,): 8.866680
