Intersección (153,): -0.010681
Intersección (165,): -0.043139
Intersección (177,): 0.007761
Intersección (189,): -0.125886
Intersección (201,): -0.132298
Intersección (213,): -0.162786
Intersección (225,): 0.037431
Intersección (237,): -0.079172
Intersección (348,): 0.015198
Intersección (361,): 0.084123
Intersección (386,): 0.076906
Intersección (399,): 0.024116
Intersección (456,): -0.404647
Intersección (480,): -0.002733
Intersección (516,): 0.049762
Intersección (540,): 0.003477
Intersección (598,): 0.237229
Intersección (599,): 0.349908
Intersección (691,): 0.000136
Intersección (716,): 0.039957
Intersección (728,): -0.136016
Intersección (753,): -0.003033
Intersección (810,): -0.018185
Intersección (834,): -0.005147
Intersección (859,): -0.049610
Intersección (883,): 0.016106
Intersección (936,): -0.026744
Intersección (948,): 0.017631
Intersección (960,): 0.039366
Intersección (972,): 0.006288
Intersección (984,): -0.000074
Intersección (996,): -0.020191
Intersección (1008,): -0.008449
Intersección (1020,): -0.021991
Intersección (1211,): -0.103930
Intersección (1223,): 0.004854
Intersección (1259,): 0.000526
Intersección (1271,): -0.011069
