Intersección (153,): -0.051308
Intersección (165,): 0.788027
Intersección (177,): 0.325670
Intersección (189,): -1.933296
Intersección (201,): 0.635680
Intersección (213,): 1.248179
Intersección (225,): -0.011465
Intersección (237,): 1.247710
Intersección (348,): 4.132592
Intersección (361,): 1.689004
Intersección (386,): 0.455290
Intersección (399,): 1.284674
Intersección (456,): -0.191814
Intersección (480,): 0.022399
Intersección (516,): 0.001318
Intersección (540,): -0.152708
Intersección (598,): -3.280224
Intersección (599,): 0.549883
Intersección (691,): -0.434039
Intersección (716,): 0.344687
Intersección (728,): 0.641587
Intersección (753,): 0.379004
Intersección (810,): -6.559488
Intersección (834,): -2.684237
Intersección (859,): 1.607093
Intersección (883,): 0.931379
Intersección (936,): 0.019242
Intersección (948,): 0.321781
Intersección (960,): 1.523980
Intersección (972,): 3.414728
Intersección (984,): 11.974668
Intersección (996,): 0.514187
Intersección (1008,): -5.223875
Intersección (1020,): -0.072951
Intersección (1211,): 0.525879
Intersección (1223,): 3.246157
Intersección (1259,): 16.184587
Intersección (1271,): -1.213494
