Intersección (153,): -0.101342
Intersección (165,): -0.001963
Intersección (177,): -0.030515
Intersección (189,): -0.287535
Intersección (201,): -0.161701
Intersección (213,): 0.059124
Intersección (225,): -0.002764
Intersección (237,): 0.009637
Intersección (348,): 0.537221
Intersección (361,): -0.055663
Intersección (386,): 0.001262
Intersección (399,): 0.260161
Intersección (456,): 0.017813
Intersección (480,): -0.001811
Intersección (516,): 0.019115
Intersección (540,): 0.236718
Intersección (598,): 0.069642
Intersección (599,): 0.058852
Intersección (691,): 0.017046
Intersección (716,): 0.021369
Intersección (728,): 0.037499
Intersección (753,): -0.007059
Intersección (810,): 0.368542
Intersección (834,): -0.101391
Intersección (859,): 0.020060
Intersección (883,): -0.035115
Intersección (936,): 0.144283
Intersección (948,): -0.077612
Intersección (960,): 0.072602
Intersección (972,): -0.046452
Intersección (984,): -0.270182
Intersección (996,): 0.007778
Intersección (1008,): 0.236118
Intersección (1020,): 0.212671
Intersección (1211,): -0.025574
Intersección (1223,): -0.131167
Intersección (1259,): -1.626779
Intersección (1271,): 0.077163
