Intersección (153,): 0.056300
Intersección (165,): -0.550606
Intersección (177,): -0.011813
Intersección (189,): 0.046189
Intersección (201,): -0.152288
Intersección (213,): 0.033821
Intersección (225,): 0.196651
Intersección (237,): 0.117120
Intersección (348,): 0.121933
Intersección (361,): 0.087213
Intersección (386,): -0.019493
Intersección (399,): 0.172818
Intersección (456,): 0.003716
Intersección (480,): 0.058816
Intersección (516,): 0.038099
Intersección (540,): 0.008327
Intersección (598,): 0.048209
Intersección (599,): -0.018472
Intersección (691,): 0.057808
Intersección (716,): 0.012445
Intersección (728,): 0.057293
Intersección (753,): -0.095409
Intersección (810,): -0.058724
Intersección (834,): 0.002176
Intersección (859,): 0.454815
Intersección (883,): 0.015897
Intersección (936,): -0.012246
Intersección (948,): -0.021795
Intersección (960,): 0.109705
Intersección (972,): -0.097921
Intersección (984,): 0.026428
Intersección (996,): -0.025108
Intersección (1008,): -0.172758
Intersección (1020,): -0.006846
Intersección (1211,): 0.087735
Intersección (1223,): -0.007828
Intersección (1259,): 0.111958
Intersección (1271,): -0.007429
