Intersección (153,): 4.152217
Intersección (165,): 0.289705
Intersección (177,): 0.662234
Intersección (189,): -1.025350
Intersección (201,): 2.049464
Intersección (213,): 1.546514
Intersección (225,): 0.366122
Intersección (237,): 1.700782
Intersección (348,): -63.653571
Intersección (361,): 1.046110
Intersección (386,): 0.338175
Intersección (399,): 2.504301
Intersección (456,): 0.668863
Intersección (480,): 0.067051
Intersección (516,): -0.006565
Intersección (540,): 0.177345
Intersección (598,): 1.167670
Intersección (599,): 1.827460
Intersección (691,): 0.115522
Intersección (716,): -0.456861
Intersección (728,): -0.741650
Intersección (753,): 0.207021
Intersección (810,): 6.363816
Intersección (834,): 1.956599
Intersección (859,): -2.782811
Intersección (883,): -0.126974
Intersección (936,): 0.123813
Intersección (948,): 3.809864
Intersección (960,): -1.779748
Intersección (972,): -2.326684
Intersección (984,): -9.872940
Intersección (996,): 2.045202
Intersección (1008,): -8.543028
Intersección (1020,): 0.108963
Intersección (1211,): 1.395666
Intersección (1223,): -3.100813
Intersección (1259,): -7.524410
Intersección (1271,): 1.720320
