Intersección (153,): 1.770797
Intersección (165,): 0.092987
Intersección (177,): 0.458848
Intersección (189,): -0.277214
Intersección (201,): -0.123611
Intersección (213,): -1.502560
Intersección (225,): -0.001058
Intersección (237,): 0.016660
Intersección (348,): -0.060076
Intersección (361,): 0.078228
Intersección (386,): 0.025519
Intersección (399,): -0.011079
Intersección (456,): 0.007569
Intersección (480,): 0.005260
Intersección (516,): -0.019920
Intersección (540,): 0.465636
Intersección (598,): -0.235657
Intersección (599,): 0.802843
Intersección (691,): 0.026261
Intersección (716,): 0.002035
Intersección (728,): 0.084854
Intersección (753,): -0.001397
Intersección (810,): -0.668444
Intersección (834,): -1.468185
Intersección (859,): 0.157180
Intersección (883,): 0.229145
Intersección (936,): 0.075544
Intersección (948,): 0.363850
Intersección (960,): -0.142130
Intersección (972,): -5.315136
Intersección (984,): -0.359792
Intersección (996,): 0.089837
Intersección (1008,): 0.037446
Intersección (1020,): -0.252304
Intersección (1211,): 0.029324
Intersección (1223,): -0.101679
Intersección (1259,): 0.764332
Intersección (1271,): -0.046591
