Intersección (153,): -0.080916
Intersección (165,): -0.056994
Intersección (177,): -0.017385
Intersección (189,): -0.424028
Intersección (201,): 0.050710
Intersección (213,): -0.068459
Intersección (225,): 0.003073
Intersección (237,): -0.099175
Intersección (348,): 0.178984
Intersección (361,): -0.233618
Intersección (386,): -0.085818
Intersección (399,): 0.051090
Intersección (456,): -0.237571
Intersección (480,): -0.021044
Intersección (516,): -0.053246
Intersección (540,): 0.007724
Intersección (598,): 0.004603
Intersección (599,): 0.000264
Intersección (691,): -0.046046
Intersección (716,): -0.008334
Intersección (728,): 0.021257
Intersección (753,): 0.059043
Intersección (810,): 0.082718
Intersección (834,): -0.011628
Intersección (859,): 0.076322
Intersección (883,): -0.001019
Intersección (936,): 0.041191
Intersección (948,): 0.107850
Intersección (960,): 0.046803
Intersección (972,): 0.007851
Intersección (984,): 0.031466
Intersección (996,): 0.038064
Intersección (1008,): -0.052620
Intersección (1020,): 0.009961
Intersección (1211,): -0.067228
Intersección (1223,): 0.018087
Intersección (1259,): 0.009548
Intersección (1271,): -0.138999
