Intersección (153,): 6.051227
Intersección (165,): -0.104304
Intersección (177,): 13.889460
Intersección (189,): -2.681253
Intersección (201,): -2.417585
Intersección (213,): 1.539451
Intersección (225,): 0.019340
Intersección (237,): 1.061547
Intersección (348,): 25.506100
Intersección (361,): 0.045923
Intersección (386,): 0.896044
Intersección (399,): 1.085341
Intersección (456,): -0.078278
Intersección (480,): -0.118703
Intersección (516,): -0.174240
Intersección (540,): 0.730939
Intersección (598,): 3.394551
Intersección (599,): 0.583677
Intersección (691,): -0.067533
Intersección (716,): -0.589133
Intersección (728,): 5.076165
Intersección (753,): -0.337780
Intersección (810,): -5.444235
Intersección (834,): 1.303882
Intersección (859,): -0.265624
Intersección (883,): 0.605215
Intersección (936,): -0.325493
Intersección (948,): -4.217075
Intersección (960,): -1.598053
Intersección (972,): -8.956062
Intersección (984,): -7.041498
Intersección (996,): 0.741536
Intersección (1008,): -9.421917
Intersección (1020,): -12.417878
Intersección (1211,): -0.047011
Intersección (1223,): 0.186073
Intersección (1259,): -2.523249
Intersección (1271,): 9.045941
