Intersección (153,): 1.186499
Intersección (165,): -0.045170
Intersección (177,): 0.124262
Intersección (189,): 0.708495
Intersección (201,): 0.575007
Intersección (213,): 0.772742
Intersección (225,): 0.008832
Intersección (237,): -0.168441
Intersección (348,): 1.732158
Intersección (361,): 0.070542
Intersección (386,): -0.011874
Intersección (399,): -0.293248
Intersección (456,): -0.003132
Intersección (480,): -0.010730
Intersección (516,): -0.006421
Intersección (540,): 0.121802
Intersección (598,): 0.549504
Intersección (599,): -0.102343
Intersección (691,): 0.115190
Intersección (716,): -0.023264
Intersección (728,): -0.078105
Intersección (753,): 0.013640
Intersección (810,): 0.211772
Intersección (834,): -0.345205
Intersección (859,): -0.334192
Intersección (883,): 0.027576
Intersección (936,): -0.138882
Intersección (948,): -0.029250
Intersección (960,): -0.658396
Intersección (972,): 0.591059
Intersección (984,): -1.315968
Intersección (996,): 0.464294
Intersección (1008,): 0.750030
Intersección (1020,): -0.198340
Intersección (1211,): -0.029103
Intersección (1223,): 0.302237
Intersección (1259,): 0.106760
Intersección (1271,): 2.022814
