Intersección (153,): 0.331844
Intersección (165,): 0.015228
Intersección (177,): 0.020678
Intersección (189,): -1.289584
Intersección (201,): 0.265324
Intersección (213,): 0.413039
Intersección (225,): 0.030564
Intersección (237,): 0.060437
Intersección (348,): 1.016825
Intersección (361,): -0.009324
Intersección (386,): 0.018161
Intersección (399,): 0.656871
Intersección (456,): 0.002020
Intersección (480,): 0.012779
Intersección (516,): -0.040575
Intersección (540,): 0.119521
Intersección (598,): 0.255745
Intersección (599,): 0.126390
Intersección (691,): -0.015475
Intersección (716,): 0.015657
Intersección (728,): 0.702102
Intersección (753,): 0.017134
Intersección (810,): 1.224621
Intersección (834,): -0.151320
Intersección (859,): -0.031377
Intersección (883,): -0.044058
Intersección (936,): 0.425855
Intersección (948,): -1.235590
Intersección (960,): -0.412109
Intersección (972,): -0.201679
Intersección (984,): -0.015493
Intersección (996,): 0.002508
Intersección (1008,): 0.323127
Intersección (1020,): 0.453470
Intersección (1211,): -0.017356
Intersección (1223,): 0.117036
Intersección (1259,): -0.176524
Intersección (1271,): 0.040199
