Intersección (153,): -2.116456
Intersección (165,): 3.338454
Intersección (177,): 0.863907
Intersección (189,): 0.858269
Intersección (201,): -6.393043
Intersección (213,): 2.555602
Intersección (225,): 0.900622
Intersección (237,): 0.676735
Intersección (348,): 1.875957
Intersección (361,): -0.157687
Intersección (386,): 0.208122
Intersección (399,): -1.087114
Intersección (456,): 0.604551
Intersección (480,): 0.414512
Intersección (516,): -0.046562
Intersección (540,): 1.150220
Intersección (598,): 6.482459
Intersección (599,): -0.195684
Intersección (691,): 0.125052
Intersección (716,): -1.109912
Intersección (728,): -1.282510
Intersección (753,): -1.318918
Intersección (810,): -9.155796
Intersección (834,): 2.582205
Intersección (859,): -1.016730
Intersección (883,): 2.743482
Intersección (936,): -2.593480
Intersección (948,): -2.478629
Intersección (960,): 2.383252
Intersección (972,): -0.233657
Intersección (984,): 3.370456
Intersección (996,): 0.881670
Intersección (1008,): 2.195117
Intersección (1020,): 0.200966
Intersección (1211,): -0.109365
Intersección (1223,): 3.446808
Intersección (1259,): 8.367143
Intersección (1271,): -1.078847
