Intersección (153,): -0.270381
Intersección (165,): -0.027653
Intersección (177,): -0.430033
Intersección (189,): -0.183795
Intersección (201,): -2.139066
Intersección (213,): 0.388389
Intersección (225,): -1.009671
Intersección (237,): -0.849773
Intersección (348,): 0.000000
Intersección (361,): -0.114355
Intersección (386,): -0.429059
Intersección (399,): 0.187200
Intersección (456,): -0.080992
Intersección (480,): -0.029935
Intersección (516,): -0.006399
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): 0.371744
Intersección (691,): -0.127971
Intersección (716,): 0.017105
Intersección (728,): -0.021649
Intersección (753,): -0.000270
Intersección (810,): -0.007901
Intersección (834,): -0.056551
Intersección (859,): -0.059469
Intersección (883,): -0.012007
Intersección (936,): -0.070622
Intersección (948,): -0.094324
Intersección (960,): 0.004331
Intersección (972,): -0.327339
Intersección (984,): 0.772614
Intersección (996,): -0.136115
Intersección (1008,): 0.767429
Intersección (1020,): 0.270448
Intersección (1211,): -1.234602
Intersección (1223,): -0.030949
Intersección (1259,): -0.262113
Intersección (1271,): 0.587820
