Intersección (153,): 3.526078
Intersección (165,): -0.078845
Intersección (177,): -1.444746
Intersección (189,): 1.235389
Intersección (201,): 0.621711
Intersección (213,): 1.112676
Intersección (225,): -0.491030
Intersección (237,): 3.779486
Intersección (348,): -7.186591
Intersección (361,): -0.751872
Intersección (386,): 0.275189
Intersección (399,): -0.201058
Intersección (456,): 0.033896
Intersección (480,): -1.122905
Intersección (516,): -0.149291
Intersección (540,): 0.218235
Intersección (598,): 0.513868
Intersección (599,): -0.221191
Intersección (691,): 0.508171
Intersección (716,): 0.604522
Intersección (728,): -0.476954
Intersección (753,): -0.351279
Intersección (810,): -0.452934
Intersección (834,): 1.979304
Intersección (859,): -0.076075
Intersección (883,): 1.007359
Intersección (936,): 5.133340
Intersección (948,): 0.293667
Intersección (960,): -1.363853
Intersección (972,): 7.288275
Intersección (984,): 2.932485
Intersección (996,): 10.113186
Intersección (1008,): -58.527596
Intersección (1020,): -2.043588
Intersección (1211,): 0.090529
Intersección (1223,): -2.822992
Intersección (1259,): -1.742470
Intersección (1271,): -38.040754
