Intersección (153,): 0.056138
Intersección (165,): -0.023056
Intersección (177,): -0.045575
Intersección (189,): 0.412552
Intersección (201,): 0.737070
Intersección (213,): 0.190183
Intersección (225,): -0.397714
Intersección (237,): 0.324730
Intersección (348,): 0.324654
Intersección (361,): -0.231382
Intersección (386,): 0.119197
Intersección (399,): 2.099235
Intersección (456,): 0.176862
Intersección (480,): 0.026125
Intersección (516,): 0.190338
Intersección (540,): -0.245693
Intersección (598,): 0.351604
Intersección (599,): 1.458911
Intersección (691,): 1.379945
Intersección (716,): -0.040229
Intersección (728,): -0.155294
Intersección (753,): 0.730471
Intersección (810,): 0.015610
Intersección (834,): -0.020249
Intersección (859,): 0.204920
Intersección (883,): 0.102831
Intersección (936,): -0.037902
Intersección (948,): 0.327235
Intersección (960,): 0.422285
Intersección (972,): 0.263327
Intersección (984,): 0.554069
Intersección (996,): 0.038008
Intersección (1008,): -0.443994
Intersección (1020,): -0.380933
Intersección (1211,): -0.184063
Intersección (1223,): -0.049696
Intersección (1259,): 0.597162
Intersección (1271,): -1.274245
