Intersección (153,): 0.147622
Intersección (165,): 3.590994
Intersección (177,): 4.604182
Intersección (189,): 11.306720
Intersección (201,): 4.754356
Intersección (213,): -1.071535
Intersección (225,): -1.054601
Intersección (237,): -6.953865
Intersección (348,): 10.741307
Intersección (361,): 7.517740
Intersección (386,): 6.699604
Intersección (399,): 6.335431
Intersección (456,): -11.714352
Intersección (480,): 3.375595
Intersección (516,): -7.183758
Intersección (540,): -4.104895
Intersección (598,): -4.616022
Intersección (599,): 2.932447
Intersección (691,): -6.500311
Intersección (716,): 0.886140
Intersección (728,): -14.054943
Intersección (753,): 1.408100
Intersección (810,): 0.673173
Intersección (834,): 3.772405
Intersección (859,): -22.471560
Intersección (883,): -0.210506
Intersección (936,): 9.040223
Intersección (948,): -0.899257
Intersección (960,): -0.158963
Intersección (972,): 0.435168
Intersección (984,): 6.075765
Intersección (996,): -1.000657
Intersección (1008,): -5.062502
Intersección (1020,): 2.941773
Intersección (1211,): 0.257703
Intersección (1223,): 1.669016
Intersección (1259,): -6.264377
Intersección (1271,): 3.521781
