Intersección (153,): 0.332326
Intersección (165,): -0.281136
Intersección (177,): 0.158051
Intersección (189,): -0.209846
Intersección (201,): -4.442525
Intersección (213,): 0.490888
Intersección (225,): -0.556495
Intersección (237,): 0.416159
Intersección (348,): -5.005415
Intersección (361,): 0.559355
Intersección (386,): -2.691414
Intersección (399,): -0.697611
Intersección (456,): -2.016223
Intersección (480,): 1.042107
Intersección (516,): 1.578945
Intersección (540,): -0.074451
Intersección (598,): 1.617306
Intersección (599,): -0.189338
Intersección (691,): 0.356040
Intersección (716,): -0.803003
Intersección (728,): 1.139646
Intersección (753,): 0.740795
Intersección (810,): 0.506363
Intersección (834,): -3.201046
Intersección (859,): 0.865139
Intersección (883,): 0.150095
Intersección (936,): -2.868961
Intersección (948,): 1.148913
Intersección (960,): 0.835053
Intersección (972,): -0.653344
Intersección (984,): -0.519131
Intersección (996,): 0.876300
Intersección (1008,): -0.719511
Intersección (1020,): 0.141713
Intersección (1211,): 0.891999
Intersección (1223,): 0.162930
Intersección (1259,): 0.360169
Intersección (1271,): -2.594768
