Intersección (153,): 0.081074
Intersección (165,): 1.051150
Intersección (177,): -0.636826
Intersección (189,): 0.319972
Intersección (201,): 2.885103
Intersección (213,): -7.685589
Intersección (225,): 4.181335
Intersección (237,): -4.696631
Intersección (348,): -6.666530
Intersección (361,): -0.007253
Intersección (386,): -1.467355
Intersección (399,): -8.655535
Intersección (456,): -0.214617
Intersección (480,): 1.071148
Intersección (516,): -3.587839
Intersección (540,): 5.785754
Intersección (598,): 0.946131
Intersección (599,): -13.639815
Intersección (691,): -6.859598
Intersección (716,): 2.170426
Intersección (728,): -8.359284
Intersección (753,): -5.722627
Intersección (810,): 0.507934
Intersección (834,): 3.155396
Intersección (859,): 1.929420
Intersección (883,): -0.810561
Intersección (936,): 13.896048
Intersección (948,): -13.990665
Intersección (960,): -4.983084
Intersección (972,): 0.005403
Intersección (984,): -3.836545
Intersección (996,): 0.757396
Intersección (1008,): 3.014948
Intersección (1020,): 3.145868
Intersección (1211,): 2.879996
Intersección (1223,): 0.484764
Intersección (1259,): -4.983274
Intersección (1271,): 2.370318
