Intersección (153,): 44.101711
Intersección (165,): 8.598653
Intersección (177,): 6.705096
Intersección (189,): -26.713360
Intersección (201,): 57.394511
Intersección (213,): 11.310975
Intersección (225,): 3.093797
Intersección (237,): 23.492806
Intersección (348,): -56.928110
Intersección (361,): -1.931680
Intersección (386,): 1.894242
Intersección (399,): 15.434979
Intersección (456,): -5.708608
Intersección (480,): 0.408175
Intersección (516,): -1.846907
Intersección (540,): 4.969806
Intersección (598,): 11.760458
Intersección (599,): 6.165375
Intersección (691,): 0.421111
Intersección (716,): 1.593465
Intersección (728,): 3.334445
Intersección (753,): 0.632829
Intersección (810,): 80.593412
Intersección (834,): -15.094313
Intersección (859,): 40.134889
Intersección (883,): -14.204714
Intersección (936,): -29.824410
Intersección (948,): 0.678004
Intersección (960,): 3.566321
Intersección (972,): -25.164156
Intersección (984,): 0.732930
Intersección (996,): 5.058886
Intersección (1008,): 69.988708
Intersección (1020,): -49.406364
Intersección (1211,): 2.044161
Intersección (1223,): -1.561970
Intersección (1259,): -23.251830
Intersección (1271,): -0.343699
