Intersección (153,): -0.041843
Intersección (165,): -0.046918
Intersección (177,): 0.122071
Intersección (189,): -0.022665
Intersección (201,): 0.000000
Intersección (213,): 0.003386
Intersección (225,): -0.108502
Intersección (237,): 0.161218
Intersección (348,): -0.425673
Intersección (361,): 0.076159
Intersección (386,): 0.201598
Intersección (399,): -0.084993
Intersección (456,): -0.011027
Intersección (480,): 0.078066
Intersección (516,): -0.005088
Intersección (540,): -0.118435
Intersección (598,): 0.064454
Intersección (599,): 0.156296
Intersección (691,): -0.206903
Intersección (716,): -0.048293
Intersección (728,): -0.034643
Intersección (753,): 0.121344
Intersección (810,): -0.161774
Intersección (834,): 0.767080
Intersección (859,): 0.039351
Intersección (883,): 0.315821
Intersección (936,): 0.149508
Intersección (948,): 0.073612
Intersección (960,): -0.190845
Intersección (972,): -0.004237
Intersección (984,): -0.065490
Intersección (996,): -0.067845
Intersección (1008,): -0.411439
Intersección (1020,): -0.660997
Intersección (1211,): 1.311308
Intersección (1223,): -0.049900
Intersección (1259,): -0.026585
Intersección (1271,): -0.122695
