Intersección (153,): 0.032891
Intersección (165,): 0.021015
Intersección (177,): 0.000000
Intersección (189,): 0.000000
Intersección (201,): -0.009324
Intersección (213,): 0.000000
Intersección (225,): 0.047982
Intersección (237,): 0.029418
Intersección (348,): 0.015081
Intersección (361,): -0.011859
Intersección (386,): 0.031620
Intersección (399,): -0.047553
Intersección (456,): -0.015373
Intersección (480,): 0.036002
Intersección (516,): 0.018183
Intersección (540,): 0.000000
Intersección (598,): -0.025125
Intersección (599,): -0.034636
Intersección (691,): 0.000000
Intersección (716,): 0.024287
Intersección (728,): -0.160862
Intersección (753,): 0.015483
Intersección (810,): 0.120153
Intersección (834,): 0.036810
Intersección (859,): 0.058079
Intersección (883,): -0.045512
Intersección (936,): 0.030736
Intersección (948,): 0.252074
Intersección (960,): 0.024768
Intersección (972,): 0.088944
Intersección (984,): 0.030588
Intersección (996,): 0.006540
Intersección (1008,): 0.013246
Intersección (1020,): 0.029511
Intersección (1211,): -0.012079
Intersección (1223,): -0.021881
Intersección (1259,): -0.049735
Intersección (1271,): 0.004289
