Intersección (153,): 0.002575
Intersección (165,): 0.000000
Intersección (177,): 0.000000
Intersección (189,): 0.000000
Intersección (201,): -0.003010
Intersección (213,): -0.003730
Intersección (225,): 0.002893
Intersección (237,): 0.032060
Intersección (348,): 0.010466
Intersección (361,): 0.000000
Intersección (386,): 0.000000
Intersección (399,): -0.002880
Intersección (456,): 0.000000
Intersección (480,): -0.016299
Intersección (516,): 0.000000
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): -0.019829
Intersección (691,): -0.092874
Intersección (716,): -0.038213
Intersección (728,): -0.017206
Intersección (753,): -0.003054
Intersección (810,): -0.009091
Intersección (834,): 0.000000
Intersección (859,): -0.014574
Intersección (883,): -0.097993
Intersección (936,): 0.052419
Intersección (948,): 0.000000
Intersección (960,): -0.006253
Intersección (972,): -0.006871
Intersección (984,): 0.000000
Intersección (996,): 0.000000
Intersección (1008,): 0.000000
Intersección (1020,): -0.015481
Intersección (1211,): 0.015222
Intersección (1223,): 0.002874
Intersección (1259,): 0.000000
Intersección (1271,): 0.003009
