Intersección (153,): 0.003783
Intersección (165,): -0.008599
Intersección (177,): -0.022087
Intersección (189,): 0.000000
Intersección (201,): 0.000000
Intersección (213,): -0.002298
Intersección (225,): -0.029742
Intersección (237,): 0.000000
Intersección (348,): -0.002211
Intersección (361,): -0.009576
Intersección (386,): 0.016136
Intersección (399,): -0.031713
Intersección (456,): 0.041065
Intersección (480,): 0.000000
Intersección (516,): -0.006369
Intersección (540,): 0.000000
Intersección (598,): 0.000000
Intersección (599,): -0.026548
Intersección (691,): 0.000000
Intersección (716,): 0.096336
Intersección (728,): -0.012932
Intersección (753,): -0.028179
Intersección (810,): -0.009521
Intersección (834,): 0.000000
Intersección (859,): 0.000000
Intersección (883,): 0.000000
Intersección (936,): 0.025676
Intersección (948,): 0.007504
Intersección (960,): 0.000000
Intersección (972,): 0.000000
Intersección (984,): 0.000000
Intersección (996,): 0.038271
Intersección (1008,): 0.028936
Intersección (1020,): 0.000000
Intersección (1211,): 0.020351
Intersección (1223,): 0.000000
Intersección (1259,): -0.006957
Intersección (1271,): 0.000000
